,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff
0,0c0pdasz,zh74wr23,2,1,1,8.2,1.0,0.875,-0.13,,,,,7.890000000000001
1,0c0pdasz,w73mxa5y,2,2,1,8.3,1.0,0.875,-0.13,,,,,4.66
2,0c0pdasz,zh74wr23,2,1,2,8.2,0.0,0.5,-1.39,,,,,7.890000000000001
3,0c0pdasz,w73mxa5y,2,2,2,8.1,1.0,0.875,-4.16,,,,,4.66
4,0c0pdasz,zh74wr23,2,1,3,8.2,1.0,0.99,-0.01,,,,,7.890000000000001
5,0c0pdasz,w73mxa5y,2,2,3,8.3,1.0,0.625,-0.47,,,,,4.66
6,0c0pdasz,zh74wr23,2,1,4,8.4,1.0,0.625,-0.47,,,,,7.890000000000001
7,0c0pdasz,w73mxa5y,2,2,4,8.5,1.0,0.625,-0.47,,,,,4.66
8,0c0pdasz,zh74wr23,2,1,5,9.1,0.0,0.99,-0.02,,,,,7.890000000000001
9,0c0pdasz,w73mxa5y,2,2,5,9.0,0.0,0.99,-0.02,,,,,4.66
10,0c0pdasz,zh74wr23,2,1,6,8.1,1.0,0.99,-0.01,,,,,7.890000000000001
11,0c0pdasz,w73mxa5y,2,2,6,8.2,1.0,0.99,-0.01,,,,,4.66
12,0c0pdasz,zh74wr23,2,1,7,9.1,0.0,0.99,-0.02,,,,,7.890000000000001
13,0c0pdasz,w73mxa5y,2,2,7,9.0,0.0,0.99,-0.02,,,,,4.66
14,0c0pdasz,zh74wr23,2,1,8,9.1,0.0,0.99,-0.02,,,,,7.890000000000001
15,0c0pdasz,w73mxa5y,2,2,8,9.0,0.0,0.99,-0.02,,,,,4.66
16,0c0pdasz,zh74wr23,2,1,9,9.0,0.0,0.99,-0.02,,,,,7.890000000000001
17,0c0pdasz,w73mxa5y,2,2,9,9.1,0.0,0.99,-0.02,,,,,4.66
18,0c0pdasz,zh74wr23,2,1,10,8.5,0.0,0.99,-0.02,I based it off the must be in office at 9 am and if there was not enough time I went straight to the office.,1.0,8.4,,7.890000000000001
19,0c0pdasz,w73mxa5y,2,2,10,9.0,0.0,0.99,-0.02,trying to look at the times and figure out what the other player would pick,1.0,8.3,,4.66
20,0c0pdasz,3ukm8x0z,3,1,1,9.1,0.0,0.75,-0.58,,,,,7.38
21,0c0pdasz,34lhog0q,3,2,1,9.0,0.0,0.99,-0.02,,,,,4.77
22,0c0pdasz,3ukm8x0z,3,1,2,8.3,1.0,0.99,-0.01,,,,,7.38
23,0c0pdasz,34lhog0q,3,2,2,8.2,1.0,0.75,-0.29,,,,,4.77
